,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,omega
0,0.773980135822,-0.05,0.05,-0,-0.0025,-0.0025,0.773980135822
1,0.773980135822,-0.05,0.15,-0,-0.0025,-0.0225,0.773980135822
2,0.773980135822,-0.15,0.05,-0,-0.0225,-0.0025,0.773980135822
3,0.773980135822,-0.15,0.15,-0,-0.0225,-0.0225,0.773980135822
4,0.275363808643,-0.05,0.05,-0,-0.0025,-0.0025,0.275363808643
5,0.275363808643,-0.05,0.15,-0,-0.0025,-0.0225,0.275363808643
6,0.449867806357,-0.15,0.05,-0.030451645218,-0.105302844532,-0.0155012454467,0.275363808643
7,0.448841380083,-0.15,0.15,-0.0300944677927,-0.104637739225,-0.000551196360713,0.275363808643
8,0.608040116736,-0.05,0.05,-0,-0.0025,-0.0025,0.608040116736
9,0.45114633225,-0.05,0.15,-0.0246156596102,-0.0114262811617,-0.0941837949559,0.608040116736
10,0.608040116736,-0.15,0.05,-0,-0.0225,-0.0025,0.608040116736
11,0.449456658409,-0.15,0.15,-0.0251487132549,-7.3675756846e-05,-0.0952237507529,0.608040116736
12,0.621724486662,-0.05,0.05,-0,-0.0025,-0.0025,0.621724486662
13,0.450156862301,-0.05,0.15,-0.029435449729,-0.0147786872929,-0.103405737037,0.621724486662
14,0.621724486662,-0.15,0.05,-0,-0.0225,-0.0025,0.621724486662
15,0.44959619595,-0.15,0.15,-0.0296281484635,-0.000489661249845,-0.103766635677,0.621724486662
16,0.347786972432,-0.05,0.05,-0,-0.0025,-0.0025,0.347786972432
17,0.347786972432,-0.05,0.15,-0,-0.0025,-0.0225,0.347786972432
18,0.44897926303,-0.15,0.05,-0.0102398796766,-0.0630975668562,-0.00262065061673,0.347786972432
19,0.450166416424,-0.15,0.15,-0.0104815505522,-0.06369538375,-0.00226771735445,0.347786972432
20,0.231928161877,-0.05,0.05,-0,-0.0025,-0.0025,0.231928161877
21,0.231928161877,-0.05,0.15,-0,-0.0025,-0.0225,0.231928161877
22,0.450890477356,-0.15,0.05,-0.0479444955998,-0.136133190243,-0.0285482640519,0.231928161877
23,0.449748851767,-0.15,0.15,-0.0474458529441,-0.135292059911,-0.00459964597715,0.231928161877
24,0.899834681047,-0.05,0.05,-0,-0.0025,-0.0025,0.899834681047
25,0.899834681047,-0.05,0.15,-0,-0.0025,-0.0225,0.899834681047
26,0.899834681047,-0.15,0.05,-0,-0.0225,-0.0025,0.899834681047
27,0.899834681047,-0.15,0.15,-0,-0.0225,-0.0225,0.899834681047
28,0.848414260942,-0.05,0.05,-0,-0.0025,-0.0025,0.848414260942
29,0.848414260942,-0.05,0.15,-0,-0.0025,-0.0225,0.848414260942
30,0.848414260942,-0.15,0.05,-0,-0.0225,-0.0025,0.848414260942
31,0.848414260942,-0.15,0.15,-0,-0.0225,-0.0225,0.848414260942
32,0.0898959283484,-0.05,0.05,-0,-0.0025,-0.0025,0.0898959283484
33,0.0898959283484,-0.05,0.15,-0,-0.0025,-0.0225,0.0898959283484
34,0.0898959283484,-0.15,0.05,-0,-0.0225,-0.0025,0.0898959283484
35,0.0898959283484,-0.15,0.15,-0,-0.0225,-0.0225,0.0898959283484
36,0.674664976041,-0.05,0.05,-0,-0.0025,-0.0025,0.674664976041
37,0.450838508226,-0.05,0.15,-0.0500982876944,-0.0302156409129,-0.139746228039,0.674664976041
38,0.674664976041,-0.15,0.05,-0,-0.0225,-0.0025,0.674664976041
39,0.450114795094,-0.15,0.15,-0.0504227837633,-0.00555772947921,-0.140287838047,0.674664976041
40,0.137896618629,-0.05,0.05,-0,-0.0025,-0.0025,0.137896618629
41,0.137896618629,-0.05,0.15,-0,-0.0025,-0.0225,0.137896618629
42,0.137896618629,-0.15,0.05,-0,-0.0225,-0.0025,0.137896618629
43,0.137896618629,-0.15,0.15,-0,-0.0225,-0.0225,0.137896618629
44,0.449460847051,-0.05,0.05,-0.00156609542029,-0.00802348776917,-0.000108703071419,0.409886923562
45,0.448188862179,-0.05,0.15,-0.00146703850181,-0.00779723236349,-0.0124764569168,0.409886923562
46,0.448779364847,-0.15,0.05,-0.00151262198906,-0.0356803543744,-0.000123377860621,0.409886923562
47,0.449775214148,-0.15,0.15,-0.00159107572587,-0.0360575629017,-0.0121245885501,0.409886923562
48,0.235517244189,-0.05,0.05,-0,-0.0025,-0.0025,0.235517244189
49,0.235517244189,-0.05,0.15,-0,-0.0025,-0.0225,0.235517244189
50,0.449107788606,-0.15,0.05,-0.0456209206645,-0.13219808399,-0.0267618662228,0.235517244189
51,0.449188978693,-0.15,0.15,-0.045655610126,-0.132257130477,-0.00405408977478,0.235517244189
52,0.207705789586,-0.05,0.05,-0,-0.0025,-0.0025,0.207705789586
53,0.207705789586,-0.05,0.15,-0,-0.0025,-0.0225,0.207705789586
54,0.450970126502,-0.15,0.05,-0.0591775376153,-0.15465683869,-0.0373511039237,0.207705789586
55,0.450552251897,-0.15,0.15,-0.0589744042571,-0.15432834295,-0.00862046556371,0.207705789586
56,0.449886960048,-0.05,0.05,-0.00221102304145,-8.87136221847e-06,-0.00941317472068,0.49690847684
57,0.449677816708,-0.05,0.15,-0.00223073525656,-7.66924330135e-06,-0.0388999332963,0.49690847684
58,0.448576689413,-0.15,0.05,-0.00233596167593,-0.0103364254477,-0.00966914041868,0.49690847684
59,0.447959430995,-0.15,0.15,-0.00239600908914,-0.0102112953356,-0.0395807228426,0.49690847684
60,0.320667150217,-0.05,0.05,-0,-0.0025,-0.0025,0.320667150217
61,0.320667150217,-0.05,0.15,-0,-0.0025,-0.0225,0.320667150217
62,0.450292571896,-0.15,0.05,-0.0168027499454,-0.078190376449,-0.00634020777752,0.320667150217
63,0.448542924435,-0.15,0.15,-0.016352213632,-0.0772149458975,-0.00048948136643,0.320667150217
64,0.450352913377,-0.05,0.05,-0.000706268938383,-0.00586384102279,-0.000548696853974,0.423777192533
65,0.449310443242,-0.05,0.15,-0.000651946891772,-0.00570527196268,-0.0154919716791,0.423777192533
66,0.450608084361,-0.15,0.05,-0.000719896756268,-0.0312691643046,-0.000536807573501,0.423777192533
67,0.449969608767,-0.15,0.15,-0.000686042668191,-0.0310437675385,-0.0153283177979,0.423777192533
68,0.586111812962,-0.05,0.05,-0,-0.0025,-0.0025,0.586111812962
69,0.447970816647,-0.05,0.15,-0.0190829348631,-0.00776883523154,-0.0830252337579,0.586111812962
70,0.586111812962,-0.15,0.05,-0,-0.0225,-0.0025,0.586111812962
71,0.450541415571,-0.15,0.15,-0.0183793326487,-0.000208213431457,-0.081550451866,0.586111812962
72,0.882778381097,-0.05,0.05,-0,-0.0025,-0.0025,0.882778381097
73,0.882778381097,-0.05,0.15,-0,-0.0025,-0.0225,0.882778381097
74,0.882778381097,-0.15,0.05,-0,-0.0225,-0.0025,0.882778381097
75,0.882778381097,-0.15,0.15,-0,-0.0225,-0.0225,0.882778381097
76,0.146499227781,-0.05,0.05,-0,-0.0025,-0.0025,0.146499227781
77,0.146499227781,-0.05,0.15,-0,-0.0025,-0.0225,0.146499227781
78,0.146499227781,-0.15,0.05,-0,-0.0225,-0.0025,0.146499227781
79,0.146499227781,-0.15,0.15,-0,-0.0225,-0.0225,0.146499227781
80,0.449170829494,-0.05,0.05,-0.00412944731185,-0.000203369727623,-0.0130555248961,0.513431605336
81,0.450010743457,-0.05,0.15,-0.00402220572156,-0.000180119533593,-0.0455484642855,0.513431605336
82,0.451550329089,-0.15,0.05,-0.00382929234998,-0.00776490947582,-0.0125174199747,0.513431605336
83,0.450505954367,-0.15,0.15,-0.0039596375499,-0.00758194225913,-0.0453373328407,0.513431605336
84,0.313474662824,-0.05,0.05,-0,-0.0025,-0.0025,0.313474662824
85,0.313474662824,-0.05,0.15,-0,-0.0025,-0.0225,0.313474662824
86,0.45000962359,-0.15,0.05,-0.0186417955112,-0.0821022837409,-0.00748829943468,0.313474662824
87,0.449125079177,-0.15,0.15,-0.0184010354567,-0.0815961603626,-0.000205910550842,0.313474662824
88,0.2038687566,-0.05,0.05,-0,-0.0025,-0.0025,0.2038687566
89,0.2038687566,-0.05,0.15,-0,-0.0025,-0.0225,0.2038687566
90,0.447877732773,-0.15,0.05,-0.0595403804532,-0.155243073305,-0.0376394828358,0.2038687566
91,0.448845393718,-0.15,0.15,-0.0600135527337,-0.156006543869,-0.00902056159825,0.2038687566
92,0.673637346351,-0.05,0.05,-0,-0.0025,-0.0025,0.673637346351
93,0.451120702622,-0.05,0.15,-0.0495136567367,-0.0297619923637,-0.138768649856,0.673637346351
94,0.673637346351,-0.15,0.05,-0,-0.0225,-0.0025,0.673637346351
95,0.44956424174,-0.15,0.15,-0.05020875621,-0.00548682482672,-0.139930687593,0.673637346351
96,0.650950198271,-0.05,0.05,-0,-0.0025,-0.0025,0.650950198271
97,0.449471306424,-0.05,0.15,-0.0405937438598,-0.0229458546752,-0.123537411414,0.650950198271
98,0.650950198271,-0.15,0.05,-0,-0.0225,-0.0025,0.650950198271
99,0.448816563499,-0.15,0.15,-0.0408580063061,-0.00271791587454,-0.123998096738,0.650950198271
100,0.840239373116,-0.05,0.05,-0,-0.0025,-0.0025,0.840239373116
101,0.840239373116,-0.05,0.15,-0,-0.0025,-0.0225,0.840239373116
102,0.840239373116,-0.15,0.05,-0,-0.0225,-0.0025,0.840239373116
103,0.840239373116,-0.15,0.15,-0,-0.0225,-0.0225,0.840239373116
104,0.450649803961,-0.05,0.05,-0.00527703481187,-0.000512714601507,-0.0150413550222,0.523293006065
105,0.45040510677,-0.05,0.15,-0.00531264586368,-0.000523855934152,-0.0496790156523,0.523293006065
106,0.449603560006,-0.15,0.05,-0.00543013446042,-0.00582330064285,-0.0152990790663,0.523293006065
107,0.449236062896,-0.15,0.15,-0.00548443083153,-0.00576734788084,-0.0502015137822,0.523293006065
108,0.644916916171,-0.05,0.05,-0,-0.0025,-0.0025,0.644916916171
109,0.450131556853,-0.05,0.15,-0.0379413362047,-0.0209628002729,-0.118876944,0.644916916171
110,0.644916916171,-0.15,0.05,-0,-0.0225,-0.0025,0.644916916171
111,0.451254905238,-0.15,0.15,-0.0375049744786,-0.0019063711987,-0.118103577758,0.644916916171
112,0.863147377372,-0.05,0.05,-0,-0.0025,-0.0025,0.863147377372
113,0.863147377372,-0.05,0.15,-0,-0.0025,-0.0225,0.863147377372
114,0.863147377372,-0.15,0.05,-0,-0.0225,-0.0025,0.863147377372
115,0.863147377372,-0.15,0.15,-0,-0.0225,-0.0225,0.863147377372
116,0.343839585046,-0.05,0.05,-0,-0.0025,-0.0025,0.343839585046
117,0.343839585046,-0.05,0.15,-0,-0.0025,-0.0225,0.343839585046
