,Alpha,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,Xreal
0,0.9136811942208878,0.9136811942208878,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
1,0.9136811942208878,0.7998726871944742,-0.05,0.15,-0.012952376271581221,-0.004071525568939866,-0.06959492837950529,-0.11380850702641354
2,0.9136811942208878,0.9136811942208878,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
3,0.9136811942208878,0.7999229594920929,-0.15,0.15,-0.012940935968611591,-0.0013134655499731297,-0.06956840638725006,-0.11375823472879487
4,0.6629773636219088,0.6629773636219088,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
5,0.6629773636219088,0.6629773636219088,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
6,0.6629773636219088,0.7994301076628935,-0.15,0.05,-0.018619351356314463,-0.08205517456860986,-0.007474076952216001,0.13645274404098462
7,0.6629773636219088,0.8003749753241745,-0.15,0.15,-0.018878103701486557,-0.08259738721216625,-0.00015882019080687255,0.1373976117022656
8,0.9304862239972431,0.9304862239972431,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
9,0.9304862239972431,0.7998724669949607,-0.05,0.15,-0.017059953518251274,-0.006498577818023033,-0.07874408061893601,-0.1306137570022824
10,0.9304862239972431,0.9304862239972431,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
11,0.9304862239972431,0.8004180843626335,-0.15,0.15,-0.016917720948008304,-0.00039727905762541995,-0.0784381628383912,-0.13006813963460961
12,0.8834113869424405,0.8000957729681226,-0.05,0.05,-0.006941491531917549,-0.0011099301344857633,-0.01777305292934933,-0.08331561397431786
13,0.8834113869424405,0.8004695423704596,-0.05,0.15,-0.006879349581002627,-0.0010851651238045431,-0.05426190295259688,-0.08294184457198084
14,0.8834113869424405,0.7998294266746059,-0.15,0.05,-0.0069859440822138815,-0.0044113560018635015,-0.017844140108997337,-0.0835819602678346
15,0.8834113869424405,0.8003903237232447,-0.15,0.15,-0.0068924969380457024,-0.004486177972286968,-0.054298815903804434,-0.08302106321919578
16,0.6863127744684729,0.6863127744684729,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
17,0.6863127744684729,0.6863127744684729,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
18,0.6863127744684729,0.8002397949471908,-0.15,0.05,-0.012979365995158193,-0.06965747213877356,-0.004086663947286409,0.11392702047871783
19,0.6863127744684729,0.8001569281623111,-0.15,0.15,-0.012960491330266244,-0.0696137374384177,-0.0013072452221147967,0.11384415369383816
20,0.8870689330202621,0.8003354651840325,-0.05,0.05,-0.0075226944428982735,-0.001349347659275314,-0.01869604122652123,-0.0867334678362296
21,0.8870689330202621,0.7998315492885353,-0.05,0.15,-0.00761036112035656,-0.001386622747183875,-0.05628157623987461,-0.08723738373172685
22,0.8870689330202621,0.8005313017695013,-0.15,0.05,-0.0074887616224926625,-0.004027472247264404,-0.018642524747568747,-0.08653763125076086
23,0.8870689330202621,0.8003104740867393,-0.15,0.15,-0.0075270301965197715,-0.003999492516462914,-0.05605456787657662,-0.08675845893352285
24,0.8759435394582806,0.7997371301021533,-0.05,0.05,-0.005807416826953651,-0.0006867758913409177,-0.01592805776256638,-0.07620640935612732
25,0.8759435394582806,0.7996674222589978,-0.05,0.15,-0.0058180460549987325,-0.0006904343350704476,-0.05120088121478358,-0.07627611719928284
26,0.8759435394582806,0.8005817304322191,-0.15,0.05,-0.005679402259680563,-0.005570859551862115,-0.01571558316228671,-0.07536180902606149
27,0.8759435394582806,0.8001407684022899,-0.15,0.15,-0.005746060099766951,-0.005505228782969722,-0.05098689141656418,-0.07580277105599076
28,0.7320504183295186,0.8001075283948323,-0.05,0.05,-0.004631770230442235,-0.013937481236973614,-0.00032605922391085634,0.06805711006531379
29,0.7320504183295186,0.8001404906700134,-0.05,0.15,-0.004636257951333815,-0.013945265185383296,-0.006709236249185374,0.0680900723404948
30,0.7320504183295186,0.7999750321249101,-0.15,0.05,-0.004613753159253089,-0.047491137297870537,-0.0003212917797139391,0.0679246137953915
31,0.7320504183295186,0.8002033614797873,-0.15,0.15,-0.004644823660043766,-0.04759070660512439,-0.006698940714963136,0.06815294315026876
32,0.7663927916165656,0.8003054839226358,-0.05,0.05,-0.0011500706994461924,-0.007041339930053212,-0.0002588014688391733,0.03391269230607019
33,0.7663927916165656,0.7999735995130605,-0.05,0.15,-0.0011276706589812922,-0.006985751448630779,-0.01355342829003283,0.03358080789649487
34,0.7663927916165656,0.7996216495617087,-0.15,0.05,-0.001104157000338498,-0.03357281438388142,-0.00028127120582419063,0.033228857945143075
35,0.7663927916165656,0.8000874492712547,-0.15,0.15,-0.0011353299544667023,-0.03374372725087345,-0.013526932658059956,0.03369465765468915
36,0.6750897113737239,0.6750897113737239,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
37,0.6750897113737239,0.6750897113737239,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
38,0.6750897113737239,0.7998628535828566,-0.15,0.05,-0.015568337016740456,-0.07550027967948028,-0.005591022795827184,0.12477314220913271
39,0.6750897113737239,0.7999443471406674,-0.15,0.15,-0.015588680072496142,-0.07554507080257922,-0.000632289342413074,0.12485463576694356
40,0.9288486088093332,0.9288486088093332,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
41,0.9288486088093332,0.8000915102120528,-0.05,0.15,-0.016578390439189773,-0.0062026805794617385,-0.07770552001837389,-0.12875709859728035
42,0.9288486088093332,0.9288486088093332,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
43,0.9288486088093332,0.7996825124488814,-0.15,0.15,-0.0166838804489975,-0.00043405154086198234,-0.07793370935713304,-0.12916609636045173
44,0.9084098450081751,0.9084098450081751,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
45,0.9084098450081751,0.8003721471042569,-0.05,0.15,-0.011672144168378305,-0.003368374377986478,-0.06658345353955379,-0.10803769790391826
46,0.9084098450081751,0.9084098450081751,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
47,0.9084098450081751,0.7996303267945428,-0.15,0.15,-0.01183298358278996,-0.001699128118700271,-0.06696683904687967,-0.1087795182136323
48,0.8435904816195209,0.7999667094193117,-0.05,0.05,-0.001903033500975744,-4.065628095482522e-05,-0.008765410720996663,-0.04362377220020919
49,0.8435904816195209,0.8002951313702424,-0.05,0.15,-0.0018744873532076948,-4.49523282798507e-05,-0.037363092427991226,-0.04329535024927844
50,0.8435904816195209,0.8000345329151468,-0.15,0.05,-0.0018971206675380652,-0.011330336056225843,-0.008752715537975473,-0.04355594870437407
51,0.8435904816195209,0.8001374151339639,-0.15,0.15,-0.001888168986998239,-0.011352249041331131,-0.03742408893266534,-0.043453066485557024
52,0.7344760448639807,0.7998268192808832,-0.05,0.05,-0.0042707237168888796,-0.013305801158579132,-0.0002356462751986286,0.06535077441690251
53,0.7344760448639807,0.7997130693837295,-0.05,0.15,-0.0042558693681903174,-0.013279571820165207,-0.00718476201226565,0.06523702451974889
54,0.7344760448639807,0.7995823618953916,-0.15,0.05,-0.004238832517394585,-0.04627072762681785,-0.0002282008142534949,0.0651063170314109
55,0.7344760448639807,0.799675649590916,-0.15,0.15,-0.004250988456548605,-0.0463108698746292,-0.007191107038468011,0.06519960472693531
56,0.8442526795074184,0.7999870975634403,-0.05,0.05,-0.0019594417448390413,-3.288355044122983e-05,-0.008885999939236854,-0.044265581943978116
57,0.8442526795074184,0.7999769445460152,-0.05,0.15,-0.0019603407063724255,-3.276721023210113e-05,-0.0377430611947934,-0.044275734961403246
58,0.8442526795074184,0.8001215191842712,-0.15,0.05,-0.0019475593114673248,-0.011208211214523154,-0.008860675343782048,-0.044131160323147234
59,0.8442526795074184,0.7999115402672162,-0.15,0.15,-0.001966136629119001,-0.011163794857058333,-0.03776847840117967,-0.04434113924020222
60,0.7390938432555116,0.7998004460646503,-0.05,0.05,-0.00368529162462652,-0.012255951905540385,-0.00011463134371265543,0.06070660280913864
61,0.7390938432555116,0.8002091551457668,-0.05,0.15,-0.0037350813474431696,-0.01234661253646869,-0.007900487780366606,0.06111531189025521
62,0.7390938432555116,0.8000504504803738,-0.15,0.05,-0.0037157079643661203,-0.04450269013182477,-0.00012004724187990206,0.06095660722486218
63,0.7390938432555116,0.8000164968923144,-0.15,0.15,-0.003711569726149831,-0.044488365817190643,-0.007934773635109015,0.060922653636802715
64,0.819785342779185,0.8000231909528734,-0.05,0.05,-0.0003905426448061901,-0.0009143274621750322,-0.004866757827437349,-0.01976215182631158
65,0.819785342779185,0.8000349100502938,-0.05,0.15,-0.00039007959297845707,-0.0009150363200893363,-0.02881520941164582,-0.01975043272889121
66,0.819785342779185,0.7996015837225271,-0.15,0.05,-0.0004073841296572208,-0.016852256412659843,-0.004925760035323013,-0.020183759056657924
67,0.819785342779185,0.7999578862305177,-0.15,0.15,-0.000393128033189292,-0.016944891068589082,-0.028841364997789498,-0.019827456548667355
68,0.7665768257189223,0.7999703515399067,-0.05,0.05,-0.0011151275667567536,-0.006954480148855197,-0.00027577498465831106,0.03339352582098443
69,0.7665768257189223,0.7999583127677045,-0.05,0.15,-0.001114323677588013,-0.006952472382466233,-0.013599877562953356,0.03338148704878219
70,0.7665768257189223,0.8002710823856378,-0.15,0.05,-0.0011353029323225054,-0.03374357993233717,-0.0002658772656509504,0.03369425666671555
71,0.7665768257189223,0.799734875333932,-0.15,0.15,-0.0010994562542714435,-0.033546871138774345,-0.013652041369768539,0.03315804961500968
72,0.7972413964759926,0.8000502787219025,-0.05,0.05,-7.889819471387934e-06,-0.00278877804406238,-0.0022270015948803964,0.002808882245909916
73,0.7972413964759926,0.799680123752492,-0.05,0.15,-5.947390729142222e-06,-0.0027498201183790835,-0.021774329207779317,0.0024387272764994083
74,0.7972413964759926,0.7999385342492126,-0.15,0.05,-7.274552167730162e-06,-0.023316415884133728,-0.00223756077484573,0.002697137773220004
75,0.7972413964759926,0.8004836832763128,-0.15,0.15,-1.0512423695530844e-05,-0.0234831984637916,-0.021537826383599457,0.0032422868003202376
