,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,omega
0,0.332457690736,-0.05,0.05,-0,-0.0025,-0.0025,0.332457690736
1,0.332457690736,-0.05,0.15,-0,-0.0025,-0.0225,0.332457690736
2,0.49890041749,-0.15,0.05,-0.0277031812894,-0.100135999316,-0.013558908614,0.332457690736
3,0.497465415772,-0.15,0.15,-0.0272275493216,-0.0992298668324,-0.000225231810758,0.332457690736
4,0.735317196805,-0.05,0.05,-0,-0.0025,-0.0025,0.735317196805
5,0.500860542297,-0.05,0.15,-0.0549699228428,-0.034024257392,-0.147806919195,0.735317196805
6,0.735317196805,-0.15,0.05,-0,-0.0225,-0.0025,0.735317196805
7,0.501681666514,-0.15,0.15,-0.0545855610141,-0.00699490192695,-0.147176220101,0.735317196805
8,0.499383838574,-0.05,0.05,-0.00658288445643,-0.000969386778839,-0.017196382134,0.58051881535
9,0.498635142875,-0.05,0.15,-0.00670493581796,-0.00101656857048,-0.0537700375604,0.58051881535
10,0.5006817189,-0.15,0.05,-0.0063739619695,-0.00492283303462,-0.0168576716145,0.58051881535
11,0.497969966924,-0.15,0.15,-0.00681431237646,-0.00454965784866,-0.0540789669043,0.58051881535
12,0.0828719855864,-0.05,0.05,-0,-0.0025,-0.0025,0.0828719855864
13,0.0828719855864,-0.05,0.15,-0,-0.0025,-0.0225,0.0828719855864
14,0.0828719855864,-0.15,0.05,-0,-0.0225,-0.0025,0.0828719855864
15,0.0828719855864,-0.15,0.15,-0,-0.0225,-0.0225,0.0828719855864
16,0.500066470655,-0.05,0.05,-0.000398534328,-0.000902201870717,-0.00489486678528,0.520029795228
17,0.499776232845,-0.05,0.15,-0.000410206789196,-0.000884850550911,-0.0289862755041,0.520029795228
18,0.500881595257,-0.15,0.05,-0.000366653562128,-0.0171221935708,-0.00478147355923,0.520029795228
19,0.500663586666,-0.15,0.15,-0.000375050034095,-0.0170651874653,-0.0286849126029,0.520029795228
20,0.501195813275,-0.05,0.05,-0.00844816493442,-0.00175677497728,-0.0201395548916,0.593109712846
21,0.498208385394,-0.05,0.15,-0.00900626195219,-0.00201612920697,-0.0599766601878,0.593109712846
22,0.498449180635,-0.15,0.05,-0.00896061635857,-0.00306245669511,-0.0209266695797,0.593109712846
23,0.499870750144,-0.15,0.15,-0.00869350416578,-0.00322181535513,-0.0591651929764,0.593109712846
24,0.281777808087,-0.05,0.05,-0,-0.0025,-0.0025,0.281777808087
25,0.281777808087,-0.05,0.15,-0,-0.0025,-0.0225,0.281777808087
26,0.500367553467,-0.15,0.05,-0.0477814767854,-0.1358584004,-0.0284225022474,0.281777808087
27,0.50047246261,-0.15,0.15,-0.0478273519171,-0.135935748274,-0.00471895556007,0.281777808087
28,0.903769698744,-0.05,0.05,-0,-0.0025,-0.0025,0.903769698744
